Id,SalePrice
1461,127760.69943536105
1462,163069.92391924962
1463,189102.6483202642
1464,192401.80720355487
1465,186462.46000962192
1466,175858.73252931845
1467,180423.5316265948
1468,169591.10737258784
1469,187332.85794971406
1470,128822.79465539119
1471,184362.3345972132
1472,94719.41602799416
1473,96948.65327820694
1474,153373.22382935882
1475,123373.67761797148
1476,368138.7519625114
1477,251548.26639268172
1478,286719.2308306535
1479,276273.8489414685
1480,557276.3691523024
1481,342125.0177355825
1482,202357.63900265482
1483,180530.78102775375
1484,166432.4333241061
1485,184459.38215120442
1486,193993.48534913594
1487,348343.00234313845
1488,226353.8794650721
1489,199386.91911896016
1490,224115.52242868106
1491,184911.9030665684
1492,98606.7929870367
1493,182127.16656961702
1494,295410.1935918862
1495,304148.49130358506
1496,228536.34392920608
1497,182238.62831777247
1498,163004.41387420954
1499,162801.3765694268
1500,157782.42968627432
1501,174795.7502004861
1502,154116.034316464
1503,290264.23810380005
1504,236798.91713127363
1505,225151.83011997704
1506,193506.8248080821
1507,236270.4849959693
1508,200513.9929899108
1509,167052.10904795074
1510,145757.00010230852
1511,141193.65469569506
1512,172815.31120405052
1513,143973.6283476504
1514,170462.2761717079
1515,182570.89352488765
1516,153588.87683612097
1517,158070.5747182042
1518,128375.3387626308
1519,209276.0578370099
1520,134178.76137727321
1521,134718.58073612198
1522,166604.78515632753
1523,116923.924588732
1524,127586.22612145806
1525,127304.00616759324
1526,121704.57203370947
1527,114900.64759850266
1528,132835.52400050935
1529,151095.2197699226
1530,168496.97743415006
1531,104835.92016085883
1532,104620.33251989141
1533,150661.52718080365
1534,119822.8878602333
1535,154208.27331662568
1536,111697.41239322576
1537,65668.41499190636
1538,164037.7769869957
1539,199363.64118022827
1540,91847.05055989287
1541,143834.01707806313
1542,139476.1682379299
1543,229393.9497434657
1544,79388.53735630866
1545,114748.33234619664
1546,129622.23483545172
1547,140223.5509420371
1548,136229.39403517556
1549,112637.46740913887
1550,140682.32304987108
1551,113304.99127541989
1552,132685.93260927335
1553,159400.24866247465
1554,114895.80508516061
1555,180582.62287835235
1556,97518.73224202248
1557,109800.00267570582
1558,98574.04037099377
1559,96250.92275767316
1560,140846.22992287882
1561,162059.30186776648
1562,130473.92071885007
1563,123840.7043414884
1564,151400.93762108823
1565,144525.12589363335
1566,238350.8666302046
1567,74428.27685619178
1568,237997.09336111284
1569,144070.75405742135
1570,132829.06315337028
1571,119759.68009641914
1572,144659.3262419379
1573,231819.85186979643
1574,118108.82967083738
1575,220721.52195979207
1576,230100.9229850301
1577,191073.28872588678
1578,150854.66223475378
1579,145645.9397035326
1580,189167.8683512785
1581,155493.36347276124
1582,132602.27250926846
1583,330057.1700711576
1584,230130.36049730337
1585,143514.23918017757
1586,76091.57132789897
1587,95240.66646124383
1588,146854.68119965837
1589,99195.55136437787
1590,131840.75719726164
1591,95570.76839936533
1592,122062.85232457505
1593,132217.97988381019
1594,144254.62005662743
1595,113938.6298219129
1596,252453.0910365188
1597,194754.02753973487
1598,203466.29092470644
1599,166384.2901866687
1600,162452.69761599135
1601,68708.90720072044
1602,116668.84949220154
1603,89941.57681365828
1604,280065.53542858025
1605,231884.7743414519
1606,172971.3005558085
1607,163509.81977427105
1608,216468.19494665085
1609,189233.60265431664
1610,155365.35700958726
1611,143454.74972568586
1612,157844.55458091374
1613,160266.10841123632
1614,121291.72293521882
1615,89780.12023807506
1616,73580.2662650396
1617,95162.97897934404
1618,126134.78093344321
1619,137349.55050484574
1620,172362.13289826445
1621,133779.30192292418
1622,143289.99615940847
1623,287281.9123575762
1624,200541.96080094887
